Descriptor,Importance
AATSC2p,0.0010899933083401445
LogEE_Dzse,0.0010895915195228045
ATSC2p,0.0010888658642621606
VSA_EState5,0.0010871315858148876
ATS6v,0.0010866986806405611
BCUTs-1l,0.0010860988695446806
AATS3se,0.0010823088644060744
BCUTse-1l,0.0010805948214831827
ETA_eta_F,0.001080274921903288
NssNH,0.0010778575957457927
C2SP2,0.0010763430449567356
CIC5,0.0010733468904375577
AATS7p,0.0010708037638096418
SpAD_Dzm,0.0010702387228589555
ATS3s,0.0010687244052985398
fragCpx,0.0010661607720722909
GATS8c,0.001064132814323979
AATSC2c,0.0010621513440368124
AATSC0Z,0.0010614055466607304
AATSC5are,0.001057116031191171
SlogP_VSA4,0.0010570859732421747
TopoPSA(NO),0.001056732163840008
MID_h,0.0010563112401724226
ATS6dv,0.0010551832195457777
GATS6dv,0.0010544123444617228
ATSC3dv,0.0010526915755941356
MATS7i,0.0010505090515286776
SMR_VSA6,0.0010467923513692169
VR2_Dzv,0.0010467744409213447
SpDiam_Dzpe,0.001044677679510565
MATS3m,0.0010435682464418217
AATSC6are,0.0010435546494587556
SpAbs_Dzv,0.0010422716027221723
SpMAD_Dzp,0.0010419736211171743
Xp-5dv,0.0010386619243541125
AATS5se,0.0010368845728790732
VE3_DzZ,0.0010367729015926608
AATSC2pe,0.001036459857730804
Mm,0.0010353416958061397
Mv,0.0010351334341935975
ATSC6s,0.0010339756454401218
AXp-0d,0.0010336192449732452
MWC01,0.001032175807705311
VR1_Dzi,0.001029716189316699
AATS5d,0.0010283261448375588
AATSC5i,0.001028279277080764
AATS7s,0.0010269027023059683
GATS8dv,0.0010248165146452396
VR2_Dzm,0.0010224682532707532
ATSC7s,0.0010215310863111173
AETA_eta_F,0.0010209224022009506
GATS4se,0.0010170155857938906
SpAD_Dzv,0.0010158600541587313
MATS5s,0.001015796015105064
AXp-7dv,0.0010146282842243897
SpDiam_Dzv,0.0010092384375918109
VE2_DzZ,0.0010068000864135527
JGI5,0.0010060410278963825
Xp-7d,0.0010055251539691048
SsBr,0.0010048729734120764
VE1_DzZ,0.0010048627618182177
GATS2i,0.001003301593757766
VSA_EState8,0.0010024924285136248
ATSC0Z,0.0009987250137485496
AATSC5d,0.0009977061635816093
AATS4m,0.0009927824088495846
ATSC8pe,0.0009924094117156313
SpDiam_Dzi,0.0009917258458148582
GGI7,0.00099136601948066
TpiPC10,0.0009898481346057816
ATSC4m,0.0009898038133941797
ETA_alpha,0.0009862346771624766
AXp-1d,0.0009859003540043224
AATS1se,0.000984517867544779
MATS6dv,0.0009823873391950411
BCUTare-1l,0.0009818074624209513
AATSC2m,0.0009803487986220322
AATSC2v,0.0009802225165932558
AATSC3v,0.0009779161522240644
ATS6i,0.000977208367317734
AATSC4dv,0.0009760453925879152
Spe,0.0009721975691892229
TIC1,0.0009720128588763215
AATS4Z,0.0009709954881213376
ATS5d,0.0009678698897971913
GATS8pe,0.000966530526272557
Sm,0.0009643138117665015
AATSC7pe,0.0009633220380114075
BCUTZ-1l,0.0009632247316520706
MATS1v,0.000954063971600156
GATS2d,0.00095296000560324
FCSP3,0.000952571640672317
VE1_Dzm,0.0009518740521559401
ATSC2i,0.0009516878712175651
ATSC4d,0.0009491588468564324
MATS2se,0.0009481557587451596
ZMIC5,0.0009481320184589508
GATS4s,0.0009475317051147443
ATS8p,0.0009451507281715551
GATS1d,0.0009420011113425606
AATS2i,0.0009406245101899559
ATSC6dv,0.0009381034869456986
NssCH2,0.0009332003307747635
AATS6m,0.0009321618351711652
ATS7s,0.0009312791014342214
ATSC8Z,0.0009294631405046747
AATSC1v,0.0009287384308937391
AATSC7are,0.0009268975342357706
MATS7s,0.0009261725941117774
AATSC1i,0.000924910810597877
ATSC2s,0.0009237576161720617
MIC0,0.0009217444969414346
Xp-4dv,0.0009202482349267879
AATS7are,0.00091979841332224
AATS5s,0.0009196141459907868
nBondsS,0.0009191444961386134
AATSC5Z,0.0009177228955978006
Xp-1d,0.000916260786550087
AATS8are,0.0009147798954609237
