Model,Descriptor,Fold,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Params
kNN,Avalon,1,0.45,0.479040404040404,0.45,0.46044414492474567,"{""n_neighbors"": 3}"
kNN,Avalon,2,0.6333333333333333,0.6321637426900585,0.6333333333333333,0.6317948717948718,"{""n_neighbors"": 3}"
kNN,Avalon,3,0.5333333333333333,0.5288461538461539,0.5333333333333333,0.5309005083514887,"{""n_neighbors"": 5}"
kNN,Avalon,4,0.55,0.5989583333333334,0.55,0.5648062956573594,"{""n_neighbors"": 3}"
kNN,Avalon,5,0.5166666666666667,0.4900980392156863,0.5166666666666667,0.49217056039089935,"{""n_neighbors"": 3}"
MLP,Avalon,1,0.5166666666666667,0.5087185962185962,0.5166666666666667,0.4950922532947606,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}"
MLP,Avalon,2,0.6166666666666667,0.6290374331550802,0.6166666666666667,0.6083747645951035,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}"
MLP,Avalon,3,0.5666666666666667,0.608930417700579,0.5666666666666667,0.5660320107474579,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}"
MLP,Avalon,4,0.5166666666666667,0.5134615384615384,0.5166666666666667,0.514872236577663,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}"
MLP,Avalon,5,0.55,0.548444976076555,0.55,0.5210277777777778,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
Logistic Regression,MACCS,1,0.5166666666666667,0.49793820558526447,0.5166666666666667,0.4981347045775358,"{""C"": 0.1}"
Logistic Regression,MACCS,2,0.5166666666666667,0.5168589743589743,0.5166666666666667,0.516563047983421,"{""C"": 1}"
Logistic Regression,MACCS,3,0.6666666666666666,0.6671860747947704,0.6666666666666666,0.6616359338061465,"{""C"": 0.1}"
Logistic Regression,MACCS,4,0.6333333333333333,0.6296551724137931,0.6333333333333333,0.6265432098765432,"{""C"": 0.1}"
Logistic Regression,MACCS,5,0.6666666666666666,0.6653291883555041,0.6666666666666666,0.6642976939203354,"{""C"": 10}"
SVM,MACCS,1,0.6166666666666667,0.6193019943019942,0.6166666666666667,0.6035130718954248,"{""C"": 1, ""gamma"": ""auto""}"
SVM,MACCS,2,0.65,0.6505847953216375,0.65,0.6492948717948718,"{""C"": 10, ""gamma"": ""scale""}"
SVM,MACCS,3,0.65,0.6626327312534209,0.65,0.6445217391304348,"{""C"": 10, ""gamma"": ""auto""}"
SVM,MACCS,4,0.6,0.5966020821283979,0.6,0.5967225716282321,"{""C"": 10, ""gamma"": ""scale""}"
SVM,MACCS,5,0.7,0.6999086257309941,0.7,0.6883765573353673,"{""C"": 10, ""gamma"": ""auto""}"
Random Forest,MACCS,1,0.65,0.6437301587301588,0.65,0.6449844832265448,"{""max_depth"": 10, ""n_estimators"": 200}"
Random Forest,MACCS,2,0.6666666666666666,0.6687987012987013,0.6666666666666666,0.6627602262200771,"{""max_depth"": null, ""n_estimators"": 100}"
Random Forest,MACCS,3,0.6,0.5960000000000001,0.6,0.5935990338164252,"{""max_depth"": 10, ""n_estimators"": 100}"
Random Forest,MACCS,4,0.5666666666666667,0.5288611925708699,0.5666666666666667,0.5388104466592839,"{""max_depth"": 10, ""n_estimators"": 200}"
Random Forest,MACCS,5,0.65,0.6506896551724138,0.65,0.6447530864197532,"{""max_depth"": 10, ""n_estimators"": 200}"
kNN,MACCS,1,0.4166666666666667,0.38452119883040936,0.4166666666666667,0.3793564993564994,"{""n_neighbors"": 7}"
kNN,MACCS,2,0.6,0.5950059737156511,0.6,0.5890654193809018,"{""n_neighbors"": 3}"
kNN,MACCS,3,0.43333333333333335,0.4128787878787879,0.43333333333333335,0.42212578616352203,"{""n_neighbors"": 3}"
kNN,MACCS,4,0.5166666666666667,0.5001132009752699,0.5166666666666667,0.503978953675617,"{""n_neighbors"": 5}"
kNN,MACCS,5,0.55,0.5314775910364146,0.55,0.5256246677299308,"{""n_neighbors"": 5}"
MLP,MACCS,1,0.5666666666666667,0.580324074074074,0.5666666666666667,0.5706861590790162,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}"
MLP,MACCS,2,0.5833333333333334,0.5940373563218392,0.5833333333333334,0.581111111111111,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}"
MLP,MACCS,3,0.6166666666666667,0.6131944444444444,0.6166666666666667,0.6131344845630561,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
MLP,MACCS,4,0.55,0.5590546218487394,0.55,0.5476719415702982,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}"
MLP,MACCS,5,0.7,0.6987292277614858,0.7,0.6920989010989012,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
